brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket,price_bucket_sort,discount_bucket,discount_bucket_sort
Unknown,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Cobra Paris Wrist Watches""]",,18995.0,15195.0,20.005264543300868,Watches,Wrist Watches,₹5K+,5,20–40%,3
Unknown,TEN TEN Women's Black Knee Length Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,4995.0,1995.0,60.06006006006006,Footwear,Women's Footwear,₹1K–2K,3,60–80%,5
Unknown,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Aries Gold Wrist Watches""]",,13699.0,13099.0,4.379881743192934,Watches,Wrist Watches,₹5K+,5,0–10%,1
Unknown,Carlton Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3495.0,1223.0,65.0071530758226,Footwear,Women's Footwear,₹1K–2K,3,60–80%,5
Unknown,Maserati Time R8851116001 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Maserati Time Wrist Watches""]",,24400.0,24400.0,0.0,Watches,Wrist Watches,₹5K+,5,0–10%,1
Unknown,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Vizion Wrist Watches""]",,1095.0,595.0,45.662100456621005,Watches,Wrist Watches,₹500–1K,2,40–60%,4
Unknown,"Camerii WM64 Elegance Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Camerii Wrist Watches""]",5.0,1099.0,449.0,59.14467697907189,Watches,Wrist Watches,<₹500,1,40–60%,4
Slim,Reckler Slim Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Reckler Jeans""]",,5398.0,2599.0,51.85253797702853,Clothing,Men's Clothing,₹2K–5K,4,40–60%,4
Unknown,Quechua Arpenaz Novadry Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2499.0,2250.0,9.963985594237696,Footwear,Women's Footwear,₹2K–5K,4,0–10%,1
Unknown,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls","[""Watches >> Wrist Watches >> Colat Wrist Watches""]",5.0,3999.0,849.0,78.76969242310578,Watches,Wrist Watches,₹500–1K,2,60–80%,5
Unknown,Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1799.0,719.0,60.03335186214564,Footwear,Women's Footwear,₹500–1K,2,60–80%,5
Unknown,Rochees RW38 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Rochees Wrist Watches""]",,1415.0,1202.0,15.053003533568903,Watches,Wrist Watches,₹1K–2K,3,10–20%,2
Unknown,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Rorlig Wrist Watches""]",5.0,1099.0,399.0,63.69426751592356,Watches,Wrist Watches,<₹500,1,60–80%,5
Unknown,Catwalk Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2095.0,999.0,52.31503579952267,Footwear,Women's Footwear,₹500–1K,2,40–60%,4
